tag,kernel,threads_per_block,blocks,iterations,num_pieces,input_bytes,num_tokens,kernel_time_ms,kernel_mbps,kernel_tokens_per_sec,e2e_time_ms,e2e_mbps,e2e_tokens_per_sec
corpus_100KB,v1,32,654,100,20908,100279,22944,9.702195,9.8569,2364825.50,9.975659,9.5867,2299998.25
corpus_100KB,v1,64,327,100,20908,100279,22944,9.914432,9.6459,2314202.25,10.184147,9.3904,2252913.50
corpus_100KB,v1,128,164,100,20908,100279,22944,10.049474,9.5163,2283104.75,10.319694,9.2671,2223321.75
corpus_100KB,v1,256,82,100,20908,100279,22944,9.854373,9.7047,2328306.50,10.123066,9.4471,2266507.00
corpus_100KB,v1,512,41,100,20908,100279,22944,9.803198,9.7553,2340460.75,10.071234,9.4957,2278171.75
corpus_100KB,v1,1024,21,100,20908,100279,22944,10.846014,8.8174,2115431.50,11.117080,8.6024,2063851.38
corpus_100KB,v2,32,20908,100,20908,100279,22944,2.549020,37.5178,9001108.00,2.816491,33.9548,8146307.50
corpus_100KB,v2,64,20908,100,20908,100279,22944,2.425858,39.4226,9458098.00,2.691891,35.5265,8523375.00
corpus_100KB,v2,128,20908,100,20908,100279,22944,2.831261,33.7777,8103810.50,3.098424,30.8652,7405055.50
corpus_100KB,v2,256,20908,100,20908,100279,22944,4.592450,20.8241,4996025.50,4.859387,19.6802,4721583.00
