tag,kernel,threads_per_block,blocks,iterations,num_pieces,input_bytes,num_tokens,kernel_time_ms,kernel_mbps,kernel_tokens_per_sec,e2e_time_ms,e2e_mbps,e2e_tokens_per_sec
corpus_1MB,v1,32,4960,100,158714,737914,171510,13.025535,54.0269,13167214.00,14.594669,48.2183,11751551.00
corpus_1MB,v1,64,2480,100,158714,737914,171510,12.326426,57.0911,13914009.00,13.958177,50.4170,12287422.00
corpus_1MB,v1,128,1240,100,158714,737914,171510,12.270919,57.3494,13976948.00,13.767408,51.1156,12457682.00
corpus_1MB,v1,256,620,100,158714,737914,171510,12.198133,57.6916,14060349.00,13.781066,51.0650,12445336.00
corpus_1MB,v1,512,310,100,158714,737914,171510,11.948167,58.8985,14354504.00,13.485189,52.1854,12718397.00
corpus_1MB,v1,1024,155,100,158714,737914,171510,11.608977,60.6194,14773912.00,13.144803,53.5367,13047742.00
corpus_1MB,v2,32,158714,100,158714,737914,171510,17.952196,39.2002,9553706.00,19.605453,35.8946,8748076.00
corpus_1MB,v2,64,158714,100,158714,737914,171510,17.354395,40.5505,9882799.00,18.959379,37.1178,9046182.00
corpus_1MB,v2,128,158714,100,158714,737914,171510,20.366266,34.5537,8421278.00,21.968349,32.0338,7807141.00
corpus_1MB,v2,256,158714,100,158714,737914,171510,33.373207,21.0867,5139152.50,34.986553,20.1143,4902169.50
