tag,kernel,threads_per_block,blocks,iterations,num_pieces,input_bytes,num_tokens,kernel_time_ms,kernel_mbps,kernel_tokens_per_sec,e2e_time_ms,e2e_mbps,e2e_tokens_per_sec
corpus_full,v1,32,4960,100,158714,737914,171510,13.043397,53.9529,13149182.00,14.603563,48.1889,11744394.00
corpus_full,v1,64,2480,100,158714,737914,171510,12.391546,56.7911,13840888.00,13.933771,50.5053,12308943.00
corpus_full,v1,128,1240,100,158714,737914,171510,12.275588,57.3276,13971632.00,13.890001,50.6645,12347731.00
corpus_full,v1,256,620,100,158714,737914,171510,12.205674,57.6559,14051661.00,13.724011,51.2773,12497075.00
corpus_full,v1,512,310,100,158714,737914,171510,11.943853,58.9198,14359687.00,13.457346,52.2933,12744712.00
corpus_full,v1,1024,155,100,158714,737914,171510,11.611362,60.6070,14770878.00,13.092474,53.7507,13099892.00
corpus_full,v2,32,158714,100,158714,737914,171510,17.950899,39.2030,9554396.00,19.560570,35.9769,8768149.00
corpus_full,v2,64,158714,100,158714,737914,171510,17.336031,40.5935,9893268.00,18.925896,37.1834,9062187.00
corpus_full,v2,128,158714,100,158714,737914,171510,20.357140,34.5692,8425054.00,21.966578,32.0364,7807770.50
corpus_full,v2,256,158714,100,158714,737914,171510,33.372204,21.0873,5139307.00,34.967384,20.1253,4904856.50
